,max_ti,dur,r2,slope,ltl
u:fV61,23.0,772872.0,0.85486154661835,3.563634494729008e-05,pten
u:iuTW,7.0,369063.0,0.7884913906658781,1.1826477538559814e-05,enit
u:g5a9,4.0,658471.0,0.9707143422492739,5.754949273656771e-06,enfr
u:dqM-,8.0,955368.0,0.891154568410114,8.732081043795376e-06,enes
u:fTwN,22.0,901380.0,0.7888503428556448,2.26583384113179e-05,enes
u:btRY,7.0,953478.0,0.5659132572771689,6.1533928665780225e-06,enes
u:ijZD,26.0,643888.0,0.8886390797821084,3.7893122151423794e-05,esen
u:dhnj,8.0,671834.0,0.9341911720302175,1.0765361666678776e-05,esen
u:ig7L,4.0,1035.0,0.9803480525630403,0.0035910185075569236,pten
u:hUVN,21.0,110897.0,0.8746265299171602,0.00021557654155927581,esen
u:eKa_,12.0,872071.0,0.6723838858064014,1.2736793861632337e-05,enfr
u:hCHJ,28.0,785744.0,0.9235688406971305,3.302057435996997e-05,enes
u:cb6z,33.0,367326.0,0.9185567741852981,6.956346103682582e-05,enes
u:hZxT,47.0,972906.0,0.8995566523059326,4.4773979776586496e-05,esen
u:iwLF,7.0,192089.0,0.3578402858210669,2.1858642248920743e-05,enfr
u:f8Em,4.0,67916.0,0.7566997787943173,3.725511310424824e-05,esen
u:e63F,2.0,742.0,0.9739944521497921,0.002625321973449574,enes
u:f2HL,6.0,493796.0,0.8110370582385086,7.722930468125403e-06,enes
u:iBa0,10.0,44658.0,0.6325175000936982,0.00013929342202948717,enes
u:elx,58.0,830648.0,0.8728677987230388,8.50660236863668e-05,enfr
u:iWcJ,26.0,520369.0,0.9564624652058943,4.220016509602923e-05,esen
u:i-k7,17.0,249814.0,0.9567612075910893,6.488858375545477e-05,enes
u:gF0q,23.0,947915.0,0.8087296937760545,2.1003840545113505e-05,esen
u:hNej,197.0,690845.0,0.23905560363280762,0.0003675343410683674,ende
u:g9YP,38.0,945075.0,0.6278614969508618,3.950112442337769e-05,ende
u:iUax,25.0,603516.0,0.9206945047815187,4.460646954689818e-05,enpt
u:gJGp,3.0,2879.0,0.9252540331227108,0.0008728811633233122,esen
u:i34M,18.0,453588.0,0.8624863941806832,2.9506840394179162e-05,iten
u:cnBE,14.0,663093.0,0.8588503376580968,1.6246399087920897e-05,ende
u:fIVR,9.0,788743.0,0.555913274296194,7.100051827385319e-06,enfr
u:gFXw,5.0,97350.0,0.4422047342120523,3.150959345063067e-05,enes
u:cYSp,17.0,520153.0,0.8685388570236349,2.336988887260182e-05,pten
u:5Bl,35.0,931212.0,0.9395844505819032,3.356520005860205e-05,enes
u:fDKo,8.0,7589.0,0.8852862651927528,0.0008483816628584118,enfr
u:iP2w,15.0,188356.0,0.8652167112428348,6.32116093333273e-05,pten
u:hfMr,5.0,292785.0,0.8700436418322994,1.2849011420122389e-05,esen
u:iOCF,33.0,859097.0,0.8004135874657197,2.402102399647526e-05,enes
u:hExP,13.0,351478.0,0.5652806819447103,2.1974697093684114e-05,esen
u:ijb7,6.0,2712.0,0.7715597051067521,0.002103775610379692,esen
u:eVKf,26.0,547613.0,0.7514111113480857,4.026098876801973e-05,enes
u:h4c1,4.0,33807.0,0.5516554188533505,8.07304551027103e-05,enes
u:itYl,25.0,613860.0,0.9256759324371608,3.2073123328439627e-05,enit
u:dVke,25.0,261101.0,0.5133254762979471,7.830772094505671e-05,enes
u:gboZ,52.0,951965.0,0.900674492237851,4.3153353423751065e-05,iten
u:mZx,3.0,1323.0,0.8004204385473954,0.0019551061029491825,enes
u:ejla,9.0,11730.0,0.9094249423422028,0.0006604335055102329,esen
u:cvtl,21.0,549310.0,0.8702535752810944,2.4219773047300154e-05,pten
u:f2Ot,2.0,38845.0,0.7978464894087767,4.1078465151694e-05,enes
u:gl-U,32.0,777633.0,0.5546937684436293,4.281905957219631e-05,iten
u:gNQ6,9.0,610620.0,0.9337263237442955,1.178839309174203e-05,enes
u:ea4d,19.0,605864.0,0.6477767061283359,2.6706031711005717e-05,pten
u:hpwE,9.0,331085.0,0.7289333300585914,1.5158670404303168e-05,enes
u:iHmh,31.0,759016.0,0.8822062778525781,4.0538624772956275e-05,esen
u:iT9p,40.0,518913.0,0.9499272917425134,5.781275574244022e-05,enes
u:i29d,33.0,254805.0,0.9451599891957212,0.00014657405572047498,esen
u:hFq-,14.0,475049.0,0.8799552327560959,2.405182897612938e-05,enfr
u:iOxi,12.0,790291.0,0.4745555750897943,1.2344075614254125e-05,enfr
u:i10n,15.0,112984.0,0.8696459876344177,0.00010612267570872434,enit
u:i0q5,7.0,55013.0,0.3519082149348389,7.54597230137809e-05,enes
u:h5H_,6.0,2225.0,0.9799028935747963,0.0028146574702599815,esen
u:iFiK,30.0,948005.0,0.9721133008133179,3.001473117105981e-05,enes
u:iHVK,67.0,870956.0,0.9224657066316863,7.703640784443951e-05,enes
u:hS_2,33.0,436531.0,0.872651872292283,6.086359934814262e-05,pten
u:iRhk,28.0,685762.0,0.8397771842086433,3.9598459207133266e-05,esen
u:i3uc,46.0,438859.0,0.8031471401760276,7.359132683347683e-05,enpt
u:eXJW,5.0,510983.0,0.9303550046204538,9.196152126724576e-06,enfr
u:hmG5,7.0,329569.0,0.822177355938289,1.3363263885488692e-05,esen
